sample,time_s,ref_q1,ref_q2,ref_q3,ref_q4,actual_q1,actual_q2,actual_q3,actual_q4,ref_joint_1,ref_joint_2,ref_joint_3,ref_joint_4,ref_joint_5,actual_joint_1,actual_joint_2,actual_joint_3,actual_joint_4,actual_joint_5
90,1.78,0.437414995332124,0.911469761378396,-1.92900528053684,0,0.442051339475803,0.904092325620492,-1.92844024793158,0,0.437414995332124,-0.911469761378396,1.92900528053684,-1.01753551915845,0,0.442051339475803,-0.904092325620492,1.92844024793158,-1.02434792231108,0
91,1.8,0.438587499628064,0.909604051057699,-1.92886238709829,0,0.443191335006205,0.902278343843212,-1.9283013163457,0,0.438587499628064,-0.909604051057699,1.92886238709829,-1.01925833604059,0,0.443191335006205,-0.902278343843212,1.9283013163457,-1.02602297250249,0
92,1.82,0.439569004429491,0.90804226263255,-1.92874277082351,0,0.444121166654054,0.900798778686898,-1.92818799749314,0,0.439569004429491,-0.90804226263255,1.92874277082351,-1.02070050819096,0,0.444121166654054,-0.900798778686898,1.92818799749314,-1.02738921880624,0
93,1.84,0.440372364246578,0.906763941770818,-1.92864486512964,0,0.444853052005194,0.899634189305079,-1.92809880241316,0,0.440372364246578,-0.906763941770818,1.92864486512964,-1.02188092335882,0,0.444853052005194,-0.899634189305079,1.92809880241316,-1.02846461310808,0
94,1.86,0.441011739478201,0.905746556186332,-1.92856694428475,0,0.445400514522041,0.898763056916555,-1.92803208299747,0,0.441011739478201,-0.905746556186332,1.92856694428475,-1.02282038809842,0,0.445400514522041,-0.898763056916555,1.92803208299747,-1.02926902608092,0
95,1.88,0.441502628262887,0.904965444957082,-1.92850711952621,0,0.445778415396082,0.898161734121117,-1.92798602810837,0,0.441502628262887,-0.904965444957082,1.92850711952621,-1.02354167456913,0,0.445778415396082,-0.898161734121117,1.92798602810837,-1.02982429398725,0
96,1.9,0.441861898329759,0.904393767843402,-1.92846333517898,0,0.446002985400177,0.897804394215575,-1.92795865969685,0,0.441861898329759,-0.904393767843402,1.92846333517898,-1.02406956733558,0,0.446002985400177,-0.897804394215575,1.92795865969685,-1.03015426548127,0
97,1.92,0.44210781884948,0.904002454606169,-1.92843336477393,0,0.446091856740689,0.897662980510073,-1.92794782892081,0,0.44210781884948,-0.904002454606169,1.92843336477393,-1.02443091016776,0,0.446091856740689,-0.897662980510073,1.92794782892081,-1.03028484841074,0
98,1.94,0.442260092285189,0.903760154325007,-1.92841480716616,0,0.446064094909455,0.89770715564464,-1.92795121226323,0,0.442260092285189,-0.903760154325007,1.92841480716616,-1.02465465284115,0,0.446064094909455,-0.89770715564464,1.92795121226323,-1.03024405661859,0
99,1.96,0.442339886243456,0.903633184716466,-1.92840508265333,0,0.445940230535635,0.897904250905956,-1.92796630765039,0,0.442339886243456,-0.903633184716466,1.92840508265333,-1.02477189793686,0,0.445940230535635,-0.897904250905956,1.92796630765039,-1.03006205674443,0
100,1.98,0.442369865325224,0.903585481452219,-1.92840142909394,0,0.445742291237436,0.898219215544295,-1.92799043057006,0,0.442369865325224,-0.903585481452219,1.92840142909394,-1.02481594764172,0,0.445742291237436,-0.898219215544295,1.92799043057006,-1.02977121502576,0
